2026-03-06T18:42:13 | INFO     | ai_service | Database connection pool opened.
2026-03-06T19:22:10 | INFO     | ai_service | Supabase public tables (67): ['activity_logs', 'ai_price_predictions', 'bookings', 'cache', 'cache_locks', 'compliance_reports', 'demand_zones', 'domain_events', 'driver_behavior_logs', 'driver_earnings', 'driver_locations', 'driver_payouts', 'driver_ratings', 'driver_status', 'driver_wallets', 'drivers', 'dw_dim_date', 'dw_dim_driver', 'dw_dim_passenger', 'dw_dim_payment_provider', 'dw_dim_region', 'dw_fact_commissions', 'dw_fact_driver_earnings', 'dw_fact_rides', 'dw_fact_transactions', 'event_outbox', 'exports', 'failed_import_rows', 'failed_jobs', 'fare_audit', 'fraud_flags', 'imports', 'job_batches', 'jobs', 'ledger_accounts', 'ledger_entries', 'ledger_transactions', 'managers', 'migrations', 'mobile_users', 'model_has_permissions', 'model_has_roles', 'notifications', 'password_reset_tokens', 'payments', 'payments_v2', 'permissions', 'personal_access_tokens', 'platform_commissions', 'predicted_demand', 'reviews', 'ride_feedback', 'ride_requests', 'rides', 'role_has_permissions', 'roles', 'route_checkpoints', 'sessions', 'system_metrics', 'tax_rules', 'tickets', 'traffic_logs', 'trips', 'user_notifications', 'users', 'vehicles', 'vehicles_v2']
2026-03-06T19:22:12 | INFO     | ai_service | GET / → 200  (7.4 ms)
2026-03-06T19:22:14 | INFO     | ai_service | GET / → 200  (3.3 ms)
2026-03-06T19:22:28 | INFO     | ai_service | GET / → 200  (1.2 ms)
2026-03-06T19:22:44 | INFO     | ai_service | GET / → 200  (1.5 ms)
2026-03-06T19:23:10 | INFO     | ai_service | GET / → 200  (2.8 ms)
2026-03-06T19:23:11 | INFO     | ai_service | GET /health → 200  (1320.3 ms)
2026-03-06T19:23:11 | INFO     | ai_service | predict-price | dist=8.00  demand=4  traffic=3  type=standard
2026-03-06T19:23:13 | INFO     | ai_service | POST /predict-price → 200  (1419.9 ms)
2026-03-06T19:23:13 | INFO     | ai_service | POST /predict-demand → 404  (0.5 ms)
2026-03-06T19:23:13 | INFO     | ai_service | GET /demand-hotspots → 404  (0.4 ms)
2026-03-06T19:23:14 | INFO     | ai_service | GET / → 200  (1.2 ms)
2026-03-06T19:23:31 | INFO     | ai_service | GET / → 200  (2.5 ms)
2026-03-06T19:23:44 | INFO     | ai_service | GET / → 200  (2.5 ms)
2026-03-06T19:24:14 | INFO     | ai_service | GET / → 200  (1.6 ms)
2026-03-06T19:24:30 | INFO     | ai_service | Database connection pool closed.
2026-03-06T19:24:30 | INFO     | ai_service | Database connection pool closed.
2026-03-06T19:24:39 | INFO     | ai_service | Database connection pool opened.
2026-03-06T19:24:40 | INFO     | ai_service | Database connection pool opened.
2026-03-06T19:24:43 | INFO     | ai_service | Model loaded from models/price_model.pkl
2026-03-06T19:24:43 | INFO     | ai_service | Price model ready — loaded=True  path=models/price_model.pkl
2026-03-06T19:24:43 | INFO     | ai_service | Model loaded from models/price_model.pkl
2026-03-06T19:24:43 | INFO     | ai_service | Price model ready — loaded=True  path=models/price_model.pkl
2026-03-06T19:24:44 | INFO     | ai_service | Supabase public tables (67): ['activity_logs', 'ai_price_predictions', 'bookings', 'cache', 'cache_locks', 'compliance_reports', 'demand_zones', 'domain_events', 'driver_behavior_logs', 'driver_earnings', 'driver_locations', 'driver_payouts', 'driver_ratings', 'driver_status', 'driver_wallets', 'drivers', 'dw_dim_date', 'dw_dim_driver', 'dw_dim_passenger', 'dw_dim_payment_provider', 'dw_dim_region', 'dw_fact_commissions', 'dw_fact_driver_earnings', 'dw_fact_rides', 'dw_fact_transactions', 'event_outbox', 'exports', 'failed_import_rows', 'failed_jobs', 'fare_audit', 'fraud_flags', 'imports', 'job_batches', 'jobs', 'ledger_accounts', 'ledger_entries', 'ledger_transactions', 'managers', 'migrations', 'mobile_users', 'model_has_permissions', 'model_has_roles', 'notifications', 'password_reset_tokens', 'payments', 'payments_v2', 'permissions', 'personal_access_tokens', 'platform_commissions', 'predicted_demand', 'reviews', 'ride_feedback', 'ride_requests', 'rides', 'role_has_permissions', 'roles', 'route_checkpoints', 'sessions', 'system_metrics', 'tax_rules', 'tickets', 'traffic_logs', 'trips', 'user_notifications', 'users', 'vehicles', 'vehicles_v2']
2026-03-06T19:24:44 | WARNING  | ai_service | PyTorch not installed — LSTM demand model disabled.
